SYMBOL,TOTTRDQTY,TOTTRDVAL,TOTALTRADES
BIL,779890,2507524872,74367
BINDALAGRO,205916,11778326.9,2162
BIOCON,6305,1497678.6,300
BIOFILCHEM,495199,1076423643,32705
BIRLACABLE,507272,120003414.9,10434
BIRLACORPN,289960,626986115.3,24152
BIRLAMONEY,184897,55574702.6,5052
BKMINDST,6246,18749856.25,1853
BLBLIMITED,66524,2278403.8,643
BLISSGVS,1445,1042346.8,327
BLKASHYAP,222741,712566730.6,14095
BLS,553947,11774487.45,2351
BLUEDART,30987,271396479.9,4562
BLUESTARCO,976168,249369876.5,16003
BODALCHEM,2191049,1272728933,34864
BOMDYEING,84204,35183737.9,4785
BOROLTD,728823,376051021,13860
BORORENEW,48969,6173516.5,341
BOSCHLTD,1565,113013.1,64
BPCL,26012,52475115.3,5002
BPL,97796,10528858.35,1970
BRIGADE,40191,20891827.15,2636
BRNL,50702,5214245,1184
BROOKS,118167,36842920.2,5460
BSE,3852695,2655447978,82442
BSHSL,13024911,10464902283,250427
BSL,56204,9261676.85,2023
BSOFT,57847,20573887.85,2413
BURNPUR,21548,1649740.8,296
BUTTERFLY,89,9058.5,10
BVCL,150514,809377.3,261
BYKE,336605,1217642217,26043
CALSOFT,187625,28727727.05,6339
CAMLINFINE,58788,67961111.35,5895
CAMPUS,1065166,1787684011,41097
CAMS,17973,6142054.95,1395
CANBK,2858462,30936276.2,3782
CANDC,87441,580825206.2,14772
CANFINHOME,608655,4357221205,61668
CANTABIL,67271,3264830.15,918
CAPACITE,38416,117283158.1,7773
CAPLIPOINT,1419,835883.1,79
CAPTRUST,21253,732366.35,462
CARBORUNIV,124382,239639319.1,10322
CAREERP,47824,5365384.9,1057
CARERATING,5053,469563.95,130
CARTRADE,852852,302766723.2,12953
CASTROLIND,6793,564740.1,139
CCCL,2724,7685860,236
CCHHL,104805,18770661.7,4153
CCL,2809125,744718187.3,28023
CDSL,44838,2113256.3,635
CEATLTD,1471,101455.75,59
CELEBRITY,14625936,1908860129,52278
CENTENKA,1699594,78902830.2,8609
CENTEXT,17778,1716780.9,647
CENTRALBK,21790,23044254.65,2889
CENTRUM,6566,23412.4,29
CENTUM,6603,18919637.5,1391
CENTURYPLY,27022,1351578.7,512
CENTURYTEX,284505,513518169,14708
CERA,3663,17081915.15,1331
CEREBRAINT,11020,21324232.8,2525
CESC,215227,36647430.75,4237
CGCL,19276,17384032.1,1917
CGPOWER,13758972,511178176.5,25997
CHALET,15088,4908649.05,994
CHAMBLFERT,7023,1281621.75,78
CHEMBOND,162593,757071.7,366
CHEMCON,411073,357882189.6,17620
CHEMFAB,20172,426883.75,218
CHEMPLASTS,74491,28362686.6,3738
CHENNPETRO,67564,4911706.05,909
CHEVIOT,7795689,795136769.3,41487
CHOICEIN,19443,29613816.45,3480
CHOLAFIN,127617,14842471.55,3559
CHOLAHLDNG,523981,325006557.5,18181
CIGNITITEC,58206,75930511.15,4564
CINELINE,21607,6462862.2,1373
CINEVISTA,273233,109636240.2,7550
CIPLA,45909,3239946.95,744
CLEAN,1216,1611883.75,193
CLEDUCATE,9719,1664051,428
CLNINDIA,23256,1024987.3,325
CLSEL,1827,75633.45,18
CMICABLES,121244,654074.4,402
CMSINFO,811464,610884557.1,20506
COALINDIA,26412,3777986.55,1131
COASTCORP,694,7594635.7,487
COCHINSHIP,77731,8895837.75,1271
COFFEEDAY,2842056,2190332519,101132
COFORGE,13430722,818923157.3,22576
COLPAL,32531,4115914.4,1051
COMPINFO,4610,991355.35,1012
COMPUSOFT,102968,2627035,688
CONCOR,4126270,1089152774,48573
CONFIPET,10930,529506.55,252
CONSOFINVT,40050,5344324.85,1413
CONTROLPR,36430,32755673.7,4324
CORALFINAC,2460628,159366610,17184
CORDSCABLE,64411,78026.9,69
COROMANDEL,9385,189611.1,94
COSMOFIRST,49462,3676914.75,1045
COUNCODOS,324805,8803423.45,726
CRAFTSMAN,1656580,473585016.4,84563
CREATIVE,13798,123831928.1,5136
CREATIVEYE,56828,65499427.85,7679
CREDITACC,246378,20907397.15,3905
CREST,954445,92991997.5,5653
CRISIL,230847,100331847.4,8551
CROMPTON,112175,63154181.2,6634
CROWN,10921,169963764.3,3342
CSBBANK,3029077,912843861.9,47213
CSLFINANCE,61452,4255596.95,791
CTE,242119,120859869.5,16272
CUB,33592,1190361.75,322
CUBEXTUB,8116,885806.4,133
CUMMINSIND,245807,145246815.4,13059
CUPID,92051,9946511.8,798
CYBERMEDIA,13867,1937653.25,467
CYBERTECH,1074518,300897830.4,17660
CYIENT,79447,391668,299
DAAWAT,42722,77740512,6189
DABUR,17798,422344.75,39
DALBHARAT,19282,801655.6,213
DALMIASUG,35073,656730.6,224
DAMODARIND,159531,18042601.6,3904
DANGEE,696108,405502465.4,27546
DATAMATICS,526042,1390832130,43964
DATAPATTNS,5142289,1147972545,25698
DBCORP,14870,41636,15
DBL,1489001,742827497.7,23788
DBOL,7588,9620965.15,909
DBREALTY,108395,17466103.15,2073
DBSTOCKBRO,29805,21112976.65,3006
DCAL,1358,130534.25,69
DCBBANK,85479,74995486.9,4784
DCM,30239,3914516.9,773
DCMFINSERV,75971,38217559.2,3378
DCMNVL,32440,19200850.85,5621
DCMSHRIRAM,3005592,368427849,21964
DCMSRIND,160001,273825.1,238
DCW,25585,199339.45,82
DECCANCE,130399,63568003.75,7449
DEEPAKFERT,195213,238552940,17791
DEEPAKNTR,95633,142746086.9,8216
DEEPENR,133895,2903002.45,805
DEEPINDS,32706,14826305.05,2149
DELHIVERY,98887,1143757.85,213
DELPHIFX,1459465,28362005.15,2980
DELTACORP,70875,1672422.5,439
DELTAMAGNT,11409,5931842.8,735
DEN,34443,21484502.4,5195
DENORA,67443,55348844.75,5310
DEVIT,2925,15844646.65,1342
DEVYANI,226820,8676844.15,952
DFMFOODS,673389,52560280.5,13656
DGCONTENT,184875,133562823.2,5798
DHAMPURSUG,1263400,323634074.1,16049
DHANBANK,294803,115651493.7,11843
DHANI,630330,199796954.9,14148
DHANUKA,7568,1415282.65,225
DHARAMSI,214480,91446129.7,9104
DHARSUGAR,20681,8394982.05,1286
DHRUV,46140,18541883,2215
DHUNINV,446337,103045163.7,10395
DIAMONDYD,2177,2593479.3,478
DICIND,37391,8936822.8,678
DIGISPICE,2075054,1514996185,24589
DIL,399430,252658466.1,14874
DISHTV,145295,77686296.85,4485
DIVISLAB,27433,3022808.95,319
DIXON,39849,522134.15,178
DLF,1438932,1599425304,75340
DLINKINDIA,66874,108214880.2,5922
DMART,15896,2239231.1,517
DNAMEDIA,11682,4818463.95,1145
DODLA,89195,10166840.8,2650
DOLATALGO,79043,1880883.5,1074
DOLLAR,161019,46752398.95,5922
DONEAR,7231841,1691484427,64575
DPABHUSHAN,21370,6707356.95,992
DPSCLTD,4393238,2388492800,78525
DPWIRES,2414762,123402664.8,11099
DRCSYSTEMS,136976,494790240.3,10408
DREAMFOLKS,85646,133405929.7,8182
DREDGECORP,104088,2425648.1,702
DRREDDY,63271,1419059.05,674
DSSL,1326752,932051686.3,23644
DTIL,325247,24459582.2,3093
DUCON,3003,416366.1,112
DVL,5086,2173871.85,557
DWARKESH,15773,557690.4,308
DYCL,29736,1909349.55,319
DYNAMATECH,372965,362941493.3,23211
DYNPRO,47663,39561139.85,5588
E2E,39343,156300.1,70
