SYMBOL,OPEN,LOW,HIGH,CLOSE,LAST,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,SERIES,TIMESTAMP,ISIN
ANDHRSUGAR,1063.11,1059,1063.11,1059,1059,300,318187.22,8,YL,2022-10-13,INE721A07NX5
ANDREWYU,1003.61,1003.51,1006,1004,1004,675,677782,15,YO,2022-10-13,INE721A07OB9
ANGELONE,1045.5,1015.8,1045.5,1015.8,1015.8,26,26796.9,3,YR,2022-10-13,INE721A07OE3
ANIKINDS,1098,1070,1098,1075,1075,388,418206,23,YS,2022-10-13,INE721A07OF0
ANKITMETAL,1010,1010,1013.01,1012,1012,1150,1164103.25,19,YV,2022-10-13,INE721A07OM6
ANMOL,1095,1095,1097,1097,1097,275,301275,3,YY,2022-10-13,INE721A07OP9
ANSALAPI,1097.01,1097.01,1097.01,1097.01,1097.01,10,10970.1,1,YZ,2022-10-13,INE721A07OQ7
ANTGRAPHIC,1000,1000,1000,1000,1000,1,1000,1,ZD,2022-10-13,INE721A07PI1
ANUP,1020,1020,1020,1020,1020,321,327420,7,ZF,2022-10-13,INE721A07PK7
ANURAS,1067.01,1063.2,1067.8,1063.2,1063.2,800,853162,9,ZI,2022-10-13,INE721A07PN1
APARINDS,173.65,172.8,175.75,173.15,173.3,26069,4532032.75,948,EQ,2022-10-13,INE583D01011
APCL,699.99,699.99,699.99,699.99,699.99,70,48999.3,1,N1,2022-10-13,INE583D07174
APCOTEXIND,999,998.5,999,998.55,998.5,56,55919,2,N4,2022-10-13,INE583D07265
APEX,1004,1004,1004,1004,1004,43,43172,2,N5,2022-10-13,INE583D07299
APLAPOLLO,1008,1008,1008,1008,1008,57,57456,4,N7,2022-10-13,INE583D07315
APLLTD,448,441.85,459.5,454.35,459.5,171779,77019758.2,10231,EQ,2022-10-13,INE767A01016
APOLLO,772.95,771.1,786.6,781.85,781,814551,635850390,22174,EQ,2022-10-13,INE769A01020
APOLLOHOSP,793.7,780.1,798.7,784.4,781,2734,2144961.45,460,EQ,2022-10-13,INE09EO01013
APOLLOPIPE,25.7,25.3,25.95,25.4,25.3,6713,171650.3,78,EQ,2022-10-13,INE273D01019
APOLLOTYRE,167,163.1,175,168.1,168,105565,17829919.9,2213,EQ,2022-10-13,INE754X01016
APOLSINHOT,2100,2062,2122.9,2072.3,2077,87586,183329610.9,14588,EQ,2022-10-13,INE216P01012
APTECHT,51.6,50.2,51.75,50.55,50.4,54843,2783978.95,1105,EQ,2022-10-13,INE421A01028
APTUS,3259,3238.2,3306.7,3265.85,3269.25,393950,1284997354,34967,EQ,2022-10-13,INE117A01022
ARCHIDPLY,18401.9,18130.05,18448.95,18175.2,18170,9774,178190530.3,2894,EQ,2022-10-13,INE358A01014
ARCHIES,111.9,109.5,112.2,110.2,110.2,1078594,119083330.2,8449,EQ,2022-10-13,INE674K01013
ARENTERP,332,325.1,332.2,328.6,328,947614,311446161.2,15084,EQ,2022-10-13,INE647O01011
ARIES,78,74.7,78.45,78.45,78.45,90,6773.95,4,BE,2022-10-13,INE251C01025
ARIHANTCAP,439,435.3,440.95,437.05,436.25,18236,7983108.7,1579,EQ,2022-10-13,INE404A01024
ARIHANTSUP,2316,2242.9,2318,2253.9,2248.65,528138,1197067819,26598,EQ,2022-10-13,INE012A01025
ARMANFIN,1065.2,1061.05,1083.85,1070.4,1074.1,10306,11052029.75,1409,EQ,2022-10-13,INE793A01012
AROGRANITE,258.9,253.75,270.3,264.15,261.35,42217,11173663.9,1745,EQ,2022-10-13,INE648Z01015
ARROWGREEN,291.4,277.6,291.5,280.6,281.25,356706,100533699.1,10805,EQ,2022-10-13,INE731H01025
ARSHIYA,590,577,592.95,579,580,67636,39492049.85,4785,EQ,2022-10-13,INE482D01024
ARSSINFRA,3218,3189,3262.8,3233.65,3228,1840193,5937308018,67694,EQ,2022-10-13,INE423A01024
ARTEMISMED,2115,2071.1,2115,2083.35,2090,735633,1534947556,45529,EQ,2022-10-13,INE364U01010
ARTNIRMAN,807,777,811.75,784.75,785.5,7491563,5908382296,103549,EQ,2022-10-13,INE742F01042
ARVEE,356.95,341.7,356.95,346.85,347.2,1634737,566922917.9,40190,BE,2022-10-13,INE814H01011
ARVIND,3188,3102,3211.85,3121.1,3122,271143,854221554.7,25143,EQ,2022-10-13,INE931S01010
ARVINDFASN,714.3,696,714.3,699,698,8287,5803106.2,582,EQ,2022-10-13,INE982B01019
ARVSMART,69,65.75,69.75,68.9,67.9,417,28555.25,16,BE,2022-10-13,INE0CHO01012
ASAHIINDIA,886.1,875,897,878.8,875.35,7876,6962922.6,1055,EQ,2022-10-13,INE045A01017
ASAHISONG,17,15.5,17,15.6,15.5,22249,356028.1,269,EQ,2022-10-13,INE737B01033
ASAL,102.95,101.1,104.85,101.8,101.15,50855,5207360.05,1140,EQ,2022-10-13,INE102I01027
ASALCBR,82.45,81.15,83.75,81.6,81.9,14694,1206070.1,503,EQ,2022-10-13,INE199C01026
ASHAPURMIN,272.8,268,272.85,268.75,269.5,59852,16148535.65,5292,EQ,2022-10-13,INE837H01020
ASHIANA,275.95,270,275.95,272,271.9,230170,62647997.2,8466,EQ,2022-10-13,INE208C01025
ASHIMASYN,959.9,931.5,959.9,950.3,951,36673,34620283.3,6294,EQ,2022-10-13,INE0BWX01014
ASHOKA,1201.65,1158,1215,1180.65,1176.7,580013,678706827.4,57195,EQ,2022-10-13,INE00WC01027
ASHOKLEY,699.9,682.2,717,687.5,686,62904,43815728,7620,EQ,2022-10-13,INE204E01012
ASIANENE,324.9,322,330.2,325.7,325,102178,33250414.5,4483,EQ,2022-10-13,INE415A01038
ASIANHOTNR,96.3,96.25,99.35,97.8,97.05,5149,504678.7,139,EQ,2022-10-13,INE449G01018
ASIANPAINT,35.1,34.2,35.1,34.4,34.3,51735,1787618.45,475,EQ,2022-10-13,INE740V01019
ASIANTILES,85.9,83.7,86.15,84.5,84.45,129745,10989250.95,3087,EQ,2022-10-13,INE583L01014
ASPINWALL,118.45,113.1,124,119.5,121.85,11082,1337215.25,131,BE,2022-10-13,INE00PV01013
ASTEC,144.6,137.4,144.6,137.4,137.4,13104,1802817.9,182,BE,2022-10-13,INE926K01017
ASTERDM,430.45,418.05,430.45,422.85,420,2053,866680.35,262,EQ,2022-10-13,INE758C01029
ASTRAL,2550,2550,2628.05,2598.05,2600,69259,180042088,15624,EQ,2022-10-13,INE212H01026
ASTRAMICRO,18.2,17.45,18.2,17.75,17.8,109092,1937799.8,601,EQ,2022-10-13,INE645W01026
ASTRAZEN,108.4,106.4,113.6,109.95,108.75,129861,14416151.1,3048,EQ,2022-10-13,INE801L01010
ASTRON,1259.95,1241,1270,1255.3,1259.8,20905,26177846.7,3167,EQ,2022-10-13,INE031B01049
ATFL,259.05,256.3,260.7,256.85,256.9,44066,11352793.85,743,EQ,2022-10-13,INE298G01027
ATGL,8,7.75,8.15,7.9,7.95,138852,1098277.4,399,EQ,2022-10-13,INE820Y01021
ATLANTA,1.6,1.5,1.6,1.55,1.55,693923,1072368.15,546,EQ,2022-10-13,INE181G01025
ATUL,36,34.05,36.55,36.55,36.55,42679,1537063.95,330,EQ,2022-10-13,INE737W01013
ATULAUTO,61,58.4,61,59.7,59.7,19739,1175444.45,49,BE,2022-10-13,INE00Y801016
AUBANK,47.15,47.15,50.7,47.15,47.15,353234,16766217.2,729,EQ,2022-10-13,INE256Z01017
AURIONPRO,344.8,330.95,348.9,335.95,336,14925,5025193.35,1071,EQ,2022-10-13,INE542B01011
AUROPHARMA,11.7,11.1,11.85,11.25,11.25,371388,4247010.75,802,EQ,2022-10-13,INE523B01011
AURUM,2183.7,2105,2189.95,2113.25,2119,11306,24131889.25,2016,EQ,2022-10-13,INE133A01011
AUSOMENT,11.75,11.45,11.75,11.55,11.5,85342,987732.75,426,EQ,2022-10-13,INE914E01040
AUTOAXLES,561,552,568.95,559.05,557,1497,841411.15,203,EQ,2022-10-13,INE155C01010
AUTOIND,66.15,65.35,68.9,66.05,65.5,328622,22130868.75,4903,EQ,2022-10-13,INE426A01027
AVADHSUGAR,840.05,821,848.95,822.2,829.85,6167,5109266.35,887,EQ,2022-10-13,INE062D01024
AVANTIFEED,106.25,103.3,109.15,104.7,104,35940,3778771.9,990,EQ,2022-10-13,INE773I01017
AVROIND,3155,3102,3165,3125.55,3122.75,24485,76831498.6,3039,EQ,2022-10-13,INE540L01014
AVTNPL,2827.4,2824.95,2875,2845.2,2852,20468,58270961.5,4874,EQ,2022-10-13,INE150B01039
AWHCL,400,390.1,401.5,394.55,396.9,382761,151195868.2,10240,EQ,2022-10-13,INE418H01029
AWL,493.8,489.05,509.6,494.85,504,3534,1756724.2,349,EQ,2022-10-13,INE835G01018
AXISBANK,82.25,81.4,87.6,84.05,84.6,36772,3127161.25,939,EQ,2022-10-13,INE326B01027
AXISCADES,17.7,16.85,17.9,17,17.1,3372035,57771673.35,8055,BE,2022-10-13,INE270A01029
AXITA,59.15,57.35,60.05,58.75,58.9,22590,1326926.35,346,EQ,2022-10-13,INE385I01010
