SYMBOL,OPEN,LOW,HIGH,CLOSE,LAST
PHOENIXLTD,139.55,136.4,143.4,138.25,136.4
PIDILITIND,149.85,149.1,154.2,151.05,151
PIIND,75.5,68.4,78.2,70.05,68.55
PILANIINVS,282,273.05,283.45,273.9,273.15
PILITA,89.5,89.4,95.15,94.6,94.65
PIONDIST,151.45,150,155.2,151.35,151.95
PIONEEREMB,17.3,16.5,17.3,16.7,16.8
PITTIENG,64,62.8,64.25,64,64.05
PIXTRANS,111.45,109.7,111.75,110.75,110
PKTEA,640,638.95,653.7,641.55,642
PLASTIBLEN,7.5,7.4,7.6,7.45,7.5
PNB,34,31.7,34.3,32.05,32.35
PNBGILTS,1396.3,1372,1404,1376.35,1380
PNBHOUSING,22.6,22.25,22.75,22.4,22.4
PNC,13.8,13.7,14,13.8,13.7
PNCINFRA,704,684,704.75,686.1,686
PODDARHOUS,133.8,133.2,137.3,136.5,136.6
PODDARMENT,96.4,94.1,97.55,97,96
POKARNA,40.7,39.5,42.55,42.2,42.15
POLICYBZR,3.85,3.85,3.85,3.85,3.85
POLYCAB,296,280,302.9,292.9,295
POLYMED,19.75,18.7,19.75,18.85,19
POLYPLEX,826,801.6,827.95,803.05,803.1
PONNIERODE,45.85,45,51.4,50.6,50.65
POWERGRID,199.5,195.7,200.5,197.4,197.5
POWERINDIA,4414,4360.1,4429.7,4372.25,4365
POWERMECH,76.95,73.45,76.95,75,75
PPAP,14.4,14.2,14.4,14.25,14.25
PPL,1046.45,1035,1060,1051.45,1047.4
PRAENG,13866.25,13817.9,13920,13862.4,13900
PRAJIND,4125.2,4102.25,4171.95,4132.75,4168
PRAKASH,445.55,441.8,457.9,446.8,448.9
PRAKASHSTL,1392,1381.05,1401.95,1396.75,1392.05
PRAXIS,2650,2613.65,2667.6,2621.6,2621.5
PRECAM,3004.95,2981.1,3029.55,2994.25,2997
PRECOT,1813.85,1772.75,1834,1786.95,1787
PRECWIRE,8,7.85,8.1,7.9,7.9
PREMEXPLN,172.95,167.05,172.95,168.8,169.95
PREMIER,42.8,42.55,43.2,42.8,42.55
PREMIERPOL,292.45,289.15,298.45,292.9,292
PRESSMN,869.25,850,878.95,853.9,853
PRESTIGE,280,263.65,280,263.65,263.65
PRICOLLTD,220.3,220,242.4,226.6,226
PRIMESECU,36.4,35.45,36.45,35.9,35.85
PRINCEPIPE,61.3,60.5,61.3,60.75,60.6
PRITI,390.8,383.4,394.85,389.6,388
PRITIKAUTO,55.5,53.25,56.95,54,53.5
PRIVISCL,262.25,259.1,264.4,263.55,263.55
PROZONINTU,231.95,220.9,236.9,220.9,220.9
PRSMJOHNSN,258.05,256.5,259,257.65,256.5
PRUDENT,448,439,458,443.55,445
PSB,461,450,461,452.6,454
PSPPROJECT,2581.1,2568.45,2598,2574.6,2575.2
PTC,990,958,993.15,962.25,960
PTL,1850,1805,1864.9,1812.85,1816
PUNJABCHEM,251.25,248.35,255.95,251,250.05
PURVA,214.95,213.25,217.3,213.95,213.95
PVP,3402.3,3365.05,3435,3396.55,3372
PVR,1900,1817.55,1926.15,1822.4,1838
QUESS,220.3,216,220.3,218.2,218
QUICKHEAL,170.4,167.5,171.25,168.5,168.65
RADAAN,15.05,14.55,15.05,14.9,15.05
RADHIKAJWE,426.1,421.1,441.9,438.5,439.05
RADICO,52.45,51.15,52.7,51.65,51.7
RADIOCITY,5.4,5.3,5.45,5.35,5.3
RAILTEL,32.45,31.5,32.45,31.55,31.5
RAIN,109.75,105,110.1,106.2,105.3
RAINBOW,230.45,229.65,234,233.1,234
RAJESHEXPO,90.7,86.2,91.4,88.15,88.4
RAJMET,443,430.3,445.1,436.65,434.05
RAJRATAN,3.7,3.6,3.8,3.65,3.65
RAJRILTD,92.3,90.35,92.35,91.1,91.55
RAJSREESUG,56,51.3,56.35,53.35,53.3
RAJTV,434.9,431.6,442.4,439.75,438
RALLIS,193.9,190.25,196,192.55,192.05
RAMANEWS,98.9,97.5,100.4,99.55,98.1
RAMAPHO,576,575,581.85,577.9,580
RAMASTEEL,174.95,174.9,179.7,179.7,179.7
RAMCOCEM,17.2,15.9,17.45,16.3,16.3
RAMCOIND,1414,1377,1424.35,1383.5,1383.25
RAMCOSYS,22.3,21.65,22.3,21.8,21.65
RAMKY,124.25,123.8,126.4,124.85,124.3
RAMRAT,661,660,670,665.8,665.2
RANASUG,15.2,14.95,15.25,15.1,15.1
RANEENGINE,647.5,628,647.5,634.65,635
RANEHOLDIN,76.65,76.05,77.2,76.85,77
RATEGAIN,30.15,30,30.6,30.05,30.2
RATNAMANI,1210,1139.4,1210,1142.85,1139.4
RAYMOND,91.6,91.6,95.5,91.95,92
RBA,8.1,8.1,8.8,8.8,8.8
RBL,1715,1675,1728,1698.9,1697
RBLBANK,598,582.95,603.55,585.8,585.6
RCF,206.45,201.2,208.9,206.6,208.6
RCOM,1.4,1.4,1.4,1.4,1.4
REDINGTON,36.65,35.85,37.65,36.65,37
REFEX,40.25,39.55,44.6,40.55,40.5
REGENCERAM,212.15,210.2,213.45,211.45,210.9
RELAXO,16,15.75,16.3,15.9,16.05
RELCHEMQ,288.6,288.6,307.3,292.25,302
RELIANCE,107,102.95,116.05,116.05,116.05
RELIGARE,707.3,699.85,711.95,702.3,700.5
RELINFRA,192.35,186.1,192.35,188,188
REMSONSIND,260.3,255.8,263.55,257.8,258
RENUKA,213.3,212.1,221.7,214.05,214.1
REPCOHOME,212,202.2,216.8,208.15,208.5
REPL,24.75,24.4,24.95,24.5,24.6
