SYMBOL,OPEN,LOW,HIGH,CLOSE,LAST
DIVISLAB,113.3,108.1,113.3,109.2,108.1
DIXON,13.85,12.85,14.05,12.85,12.85
DLF,1108.4,1101.1,1127.85,1103.65,1103
DLINKINDIA,1629.7,1610,1631.25,1613,1615.1
DMART,143,138.65,145,139.25,138.8
DNAMEDIA,418.75,409,424,409.9,409.9
DODLA,115.55,112.1,116,114.05,113.5
DOLATALGO,23.65,23.1,24.75,23.4,23.5
DOLLAR,292,286.05,298,288.05,287.9
DONEAR,232.2,231.1,235.6,234.55,234.05
DPABHUSHAN,324,309.6,324,313.25,312
DPSCLTD,533.2,530.1,552.4,542.05,543.5
DPWIRES,52.7,50.2,53.2,50.5,50.5
DRCSYSTEMS,3620,3580,3647,3633.9,3627
DREAMFOLKS,1571.4,1547.15,1577.15,1553.95,1554.7
DREDGECORP,23.85,23.1,23.85,23.2,23.1
DRREDDY,22.65,21.65,22.7,22.55,22.65
DSSL,712,692.4,720.8,695.1,695.05
DTIL,75.95,74.4,76.5,74.85,75.5
DUCON,140.45,137.15,143,137.6,137.5
DVL,428.95,424,432.8,428.9,432.8
DWARKESH,36.3,35.05,36.3,35.3,35.45
DYCL,63,62.5,65,63.45,63.35
DYNAMATECH,977,967.05,982.8,969.9,968
DYNPRO,843,820.2,843,834.35,839
E2E,4,3.9,4,4,4
EASEMYTRIP,2761.1,2732.25,2789,2748.6,2756
EASTSILK,472.2,452,483,459.35,460
ECLERX,4.45,4.3,4.45,4.4,4.4
EDELWEISS,986.95,978.55,1002.45,991.8,995
EICHERMOT,154.45,150.1,154.6,150.4,150.25
EIDPARRY,3100,3066.05,3124.75,3094.4,3109
EIFFL,387.6,378,387.8,383.85,384.9
EIHAHOTELS,39.2,37,39.45,37.2,37
EIHOTEL,237.7,237.45,245,243.3,244.65
EIMCOELECO,253.6,243.1,256.2,246.1,245
EKC,66.2,64.25,66.35,64.6,64.5
ELDEHSG,185.75,179.6,185.9,182,182
ELECON,27.3,26.55,27.8,27.05,26.7
ELECTCAST,1208.1,1182.05,1219.4,1189.2,1191
ELECTHERM,246.6,240.15,247.95,245.5,246
ELGIEQUIP,22.5,20.4,22.5,20.4,20.4
ELGIRUBCO,140.85,139,141.4,139.55,139
EMAMILTD,784,767.2,784,772.65,772.25
EMAMIPAP,119.35,117.5,121.75,119.95,120.2
EMAMIREAL,535,529.25,538.55,530,529.85
EMKAY,1511,1489.65,1528.6,1506.4,1509
EMMBI,331.5,331.5,337.05,335.35,334.8
EMUDHRA,47.55,46,47.65,46.4,46.1
ENDURANCE,22,21.5,22.4,21.7,21.6
ENERGYDEV,307.45,305.4,311.05,307.6,310
ENGINERSIN,1158,1151,1175.5,1164.5,1166
ENIL,123.4,120,123.65,121.05,121.35
EPL,221,216.15,222.15,217.25,218.35
EQUIPPP,168,162.15,168.45,163.65,163.3
EQUITAS,113.9,109,116.8,110.2,109.45
EQUITASBNK,26.2,24.45,26.2,24.5,24.5
ERIS,106.3,101.5,106.45,102.75,103.1
EROSMEDIA,100.3,96.35,100.3,97.05,97
ESABINDIA,83,80.55,84.2,83.7,84.2
ESCORTS,5.7,5.7,5.7,5.7,5.7
ESSARSHPNG,174,172.8,182.85,180.7,180
ESSENTIA,1063.25,1036,1070.8,1051.8,1058
ESTER,79.85,77.15,79.85,78.15,78.4
ETHOSLTD,57.6,56.5,58.4,57.15,56.85
EUROTEXIND,502.1,498.95,517.85,516.65,516.95
EVEREADY,901.9,887.05,905.8,891.7,895.9
EVERESTIND,2225,2204.1,2250.45,2225.45,2221.05
EXCEL,135.75,132.25,139.75,139.75,139.75
EXCELINDUS,283.4,283.4,302.4,300.9,300
EXIDEIND,565.7,556.65,566.95,560.2,561.3
EXPLEOSOL,418,400.7,418,404.8,402.05
EXXARO,217.2,212.3,217.6,214.25,214.15
FACT,84,84,88.9,86.05,86.7
FAIRCHEMOR,32.7,32.3,34.35,33.2,33.4
FCL,922,878.55,925,906.25,902
FCONSUMER,254.6,231.1,254.6,236.35,234.5
FCSSOFT,194.5,188.5,194.7,189.35,189.15
FDC,379.85,374.1,379.85,378.05,378
FEDERALBNK,14.5,13.45,14.65,14.1,14
FEL,220.1,217,222.15,219.05,219
FELDVR,12,11.85,12,11.9,11.85
FIBERWEB,45.45,43.5,45.45,43.8,44.05
FIEMIND,672.5,671,688.95,684.7,684
FILATEX,379,366.05,379,369.75,367
FINCABLES,11.75,11.25,11.75,11.4,11.4
FINEORG,63.05,63,66.35,63.7,64
FINOPB,643.35,633.35,648.75,638.5,641.95
FINPIPE,875.5,875.5,898.35,890.5,893
FLEXITUFF,423.05,410,432,415.9,416.15
FLFL,26.35,25.8,26.4,26.3,26.05
FLUOROCHEM,28.35,26.4,28.4,26.4,26.4
FMGOETZE,16.05,16,16.85,16.65,16.55
FMNL,3520,3500.5,3543.9,3523.85,3520.1
FOCUS,4287,4241.5,4321.5,4286.7,4282.15
FOODSIN,365.25,357.65,366.5,362.55,362.05
FORCEMOT,176.95,172.05,188.65,186.35,186.3
FORTIS,4366,4300.1,4366,4309.95,4314.95
FOSECOIND,4,3.8,4,3.85,3.8
FSC,509,491.5,509,497.05,495
FSL,71.25,69.45,71.25,69.95,70
GABRIEL,485.6,485.6,491.65,487.4,488.35
GAEL,59.45,57.6,60.1,58.95,59.15
GAIL,389.5,376.65,389.5,387.55,387.95
GAL,13.45,12.85,13.45,12.95,12.85
GALAXYSURF,432,428.4,453.8,436.1,435
GALLANTT,26.2,25.8,28,26.5,26.4
GANDHITUBE,389.95,381.25,393.7,386.8,386
GANECOS,320.7,316,362.35,352.75,354
GANESHBE,4249.95,4241.3,4309,4254.65,4269
GANESHHOUC,288.15,274.35,288.15,283.9,285
GANGAFORGE,201.3,192.85,201.3,197.9,197.8
GANGESSECU,14.55,14.05,14.55,14.15,14.1
GARFIBRES,222.8,219.85,224.45,222.85,222
GATEWAY,100.7,98.85,101.15,99.2,99.1
GATI,168,159.5,169.5,161.55,163.9
GAYAHWS,2209,2204.75,2349.95,2290.9,2297
GAYAPROJ,366,357.35,368.1,359.45,360
GEECEE,180.45,173.6,180.45,176.95,176.8
GEEKAYWIRE,392,385.5,394.45,387.9,389.25
GENCON,3.75,3.65,3.75,3.75,3.75
GENESYS,1349.9,1301,1354.9,1317.3,1321
GENUSPAPER,61.55,59.45,62.55,60.05,60.25
GENUSPOWER,3467.8,3445,3554.95,3471.2,3465
GEOJITFSL,603.9,599,618.25,614.6,612.65
GEPIL,163.5,157.1,163.5,161.2,163
GESHIP,457.9,447,458.7,450.6,448.25
GET&D,183.65,182.3,186.9,184.55,184
GFLLIMITED,371.95,355.5,371.95,359.65,360
GFSTEELS,115,112.75,115.7,113.9,113.75
GHCL,610,585,620,609.7,615.75
GICHSGFIN,333.9,328,335.55,331,329.85
GICRE,40.65,39.5,41,39.85,39.85
GILLANDERS,79,76.6,79,77.6,76.75
GILLETTE,397,397,413.1,401.1,401.2
GINNIFILA,33.6,33.05,34.7,33.95,34.1
GIPCL,477.1,473.15,480.3,474.75,474.1
GKWLIMITED,166.5,162,167.35,164.15,164.85
GLAND,78.45,75.6,79,77.25,77.3
GLAXO,82.5,79.5,82.5,79.7,79.6
GLENMARK,96.25,96.25,98.95,96.95,96.55
GLFL,308.9,305,313.7,311.15,310.8
GLOBAL,1343.4,1325.55,1349.55,1342.9,1348
GLOBALVECT,18.15,17.6,18.15,18.1,18.15
GLOBE,62.5,62.4,64,62.55,62.65
GLOBUSSPR,163.25,159.3,163.3,161.15,162
GLS,158.2,155,159.25,156.55,156.2
GMBREW,46.05,44.75,49.4,49.4,49.4
GMDCLTD,99.95,99.5,100.55,100,100.55
GMMPFAUDLR,48.7,48,49.05,48.2,48.1
GMRINFRA,721.25,695.55,735.95,707.95,707.9
GMRP&UI,36.2,34.7,37.95,37.95,37.95
GNA,3469.9,3389.65,3499,3409.55,3402
GNFC,2080,1966.7,2097.5,1999.75,1998
GOACARBON,8.9,8.6,8.9,8.65,8.75
GOCLCORP,5.75,5.65,6.2,6.05,6.1
GOCOLORS,173.45,168,173.9,169.8,170.7
GODFRYPHLP,974.4,962.85,1001.45,986.15,987
GODHA,12.2,11.1,12.2,11.1,11.1
GODREJAGRO,307,307,311.95,309.9,309
GODREJCP,873.5,821.1,873.5,826.9,831.85
GODREJIND,0.65,0.6,0.7,0.65,0.7
GODREJPROP,1247.55,1235,1269.95,1258.3,1263.95
GOENKA,155.95,153.35,156.95,155.15,155.35
GOKEX,1208.5,1208.5,1253,1240.1,1240.05
GOKUL,107.5,105.45,108.3,106.9,107.35
GOKULAGRO,116.85,114.05,118.9,114.75,115
GOLDENTOBC,2248.9,2165.2,2277,2233.55,2247.95
GOLDIAM,368.6,367.3,374.3,372.5,372.2
GOLDTECH,1.75,1.65,1.75,1.7,1.65
GOODLUCK,2.85,2.75,2.85,2.8,2.85
GOODYEAR,275.45,268.65,285.85,279.75,280
GPIL,125.55,124.4,126.75,124.9,124.9
GPPL,1.8,1.75,1.85,1.8,1.75
GPTINFRA,7.15,6.8,7.15,7,7.05
GRANULES,38.65,38.1,39.5,38.55,38.55
GRAPHITE,1585,1569.45,1590,1585.95,1590
GRASIM,99.25,98.5,100,98.9,99.25
GRAUWEIL,465,453.5,465,457.75,458
GRAVITA,6845.8,6833.3,7122,7072.45,7047
GREAVESCOT,195.9,192.05,201,198.4,198
GREENLAM,136.5,134,136.9,135.85,136.6
GREENPANEL,29.05,28.1,30,28.15,28.65
GREENPLY,7.55,6.95,7.6,7,7.05
GREENPOWER,4085,3955.55,4095,3986.35,3963.05
GRINDWELL,335.4,325.1,338.45,327.5,326.75
GRINFRA,4.95,4.75,5.05,4.85,4.95
GRMOVER,165.8,155.3,165.8,156.7,156.45
GROBTEA,91.85,89.05,92.5,91.95,91.5
GRPLTD,1260,1260,1344.95,1331.7,1342
GRSE,270.05,270.05,274.9,272.85,272.7
GRWRHITECH,1882,1865.8,1907.95,1870.8,1870.2
GSCLCEMENT,25.5,23.85,25.5,24.25,25
GSFC,103.6,102.55,104.7,103.2,103.2
GSPL,152.95,151.15,154.8,153.8,153.3
GSS,266.8,263.1,269.95,264.15,264.5
GTL,86.65,85.25,87.2,85.45,85.55
GTLINFRA,2.85,2.7,2.9,2.75,2.7
GTPL,2921.6,2920,2947,2927.95,2927
GUFICBIO,56.75,54.4,56.75,55.2,55
GUJALKALI,446.95,433,446.95,436,433
GUJAPOLLO,751,749,774.95,752.9,755.95
GUJGASLTD,135.9,127.85,136.2,129.65,130.95
GUJRAFFIA,388.2,380.45,389.95,382.8,382
GULFOILLUB,5.95,5.65,5.95,5.7,5.7
GULFPETRO,107.1,103.8,107.1,105.65,106.9
GULPOLY,3410,3358.5,3411.15,3388.2,3393.75
GVKPIL,71.65,70.6,72.1,71.2,71.35
HAL,176.5,173.85,179.25,176.95,176.3
HAPPSTMNDS,1.05,1,1.05,1.05,1.05
HARDWYN,13.9,12.75,13.9,13.35,13.3
HARIOMPIPE,146.55,142.45,147,145.6,144.5
HARRMALAYA,62.2,58.5,63,59.35,59.5
HARSHA,31.3,30.55,31.7,30.8,30.9
HATHWAY,558.55,537,559.9,548.2,548.4
HATSUN,18.55,17.45,19,17.6,17.45
HAVELLS,79.7,78.3,79.85,78.45,78.45
HAVISHA,48.6,48.1,49.85,49.25,49.1
HBLPOWER,147.3,145.9,149.05,146.35,146.9
HBSL,511.8,506,513.25,510.35,507
HCC,130.3,127.1,130.9,128.05,128.5
HCG,69.6,67.5,70.2,68.05,68
HCL-INSYS,3.7,3.7,3.7,3.7,3.7
HCLTECH,671.7,660,676.45,663.4,662.6
HDFCAMC,63.5,58.8,63.7,61.2,60.7
HDFCBANK,5168,5115,5193.85,5135.65,5117.55
HDFCLIFE,34.35,33.3,34.35,33.6,33.55
HDIL,86.05,85.15,86.7,85.9,85.65
HEADSUP,595.05,590,595.05,590.1,590
HECPROJECT,2139,2072,2155,2149.85,2150.25
HEG,1389,1374.7,1401.3,1378.15,1375
HEIDELBERG,388.95,386,396.5,389.95,390.95
HEMIPROP,2.6,2.6,2.6,2.6,2.6
HERANBA,412.95,395.15,413,400.25,396.05
HERCULES,59,56.75,59,57.2,56.8
HERITGFOOD,5.55,5.4,5.65,5.55,5.55
HEROMOTOCO,840.6,829,843.9,835.55,835.95
HESTERBIO,411,408.05,423.05,412.1,414.7
HEXATRADEX,586.55,583.15,597.95,592.7,591.5
HFCL,140.9,138.9,142.95,139.85,140
HGINFRA,1895,1850,1904.6,1856.55,1852
HGS,35.55,34.3,35.85,34.6,34.65
HIKAL,27.3,26.5,27.4,26.7,26.7
HIL,655,639.5,661.45,651.2,654.95
HILTON,654.7,639.1,667,662.95,659.3
HIMATSEIDE,424.8,420,430.35,421.6,420.9
HINDALCO,266.05,263.85,269.9,268.05,268.4
HINDCOMPOS,1331,1311.1,1347.5,1316.1,1319.8
HINDCON,1293.25,1278.2,1324.5,1304.05,1304.35
HINDCOPPER,3,2.85,3,2.9,2.9
HINDMOTORS,510.85,503.35,528,510.05,509.9
HINDNATGLS,839,836.25,850.55,842.85,841
HINDOILEXP,432.85,427.8,432.85,430.3,430
HINDPETRO,1195,1176,1203.1,1180.8,1179
HINDUNILVR,1.75,1.7,1.75,1.7,1.7
HINDWAREAP,376.6,372.85,387,383.15,384
HINDZINC,31.7,31.1,31.75,31.55,31.7
HIRECT,83.15,79.8,83.6,81.7,81.6
HISARMETAL,80.9,77.4,80.9,79.25,79.25
HITECH,127.8,125,127.95,125.6,126.9
HITECHCORP,53.85,52.5,53.85,52.95,53.05
HITECHGEAR,455.7,425.8,455.7,446.65,446
HLEGLAS,1015.1,1010,1031.05,1018.5,1013
HLVLTD,270.95,265.45,272.85,266.95,265.55
HMT,86.75,84.7,87.1,85.4,85.3
HMVL,126.9,123.5,126.9,126.2,126.4
HNDFDS,343.1,340.4,349.25,344.65,346.2
HOMEFIRST,356.55,355.55,372.1,361.1,360.5
HONAUT,1670.2,1640,1684.75,1679.75,1678.6
HONDAPOWER,79.65,78,81.2,78.6,78.95
HOTELRUGBY,354,343.05,358.35,353.3,352.9
HOVS,150.9,149.1,152.65,151,150.75
HPAL,315.05,300.2,317.75,303,301.35
HPL,388,377.5,391.45,380.65,381
HSCL,180,177.35,180.1,179.25,179.85
HTMEDIA,8.7,8.5,8.9,8.55,8.55
HUBTOWN,1996.1,1994.55,2035.05,2021.6,2027.25
HUHTAMAKI,129.3,127.2,130.8,128.75,128
IBREALEST,219.5,214.9,221.75,220.6,220.7
ICDSLTD,2363,2348.75,2399,2360.4,2360
ICEMAKE,1004.95,990,1004.95,992.8,993
ICICIBANK,255,247.55,264.9,248.9,249.9
ICICIGI,274.9,265,277,266.65,265.55
ICICIPRULI,140.8,139.05,142.4,139.55,139.5
ICIL,445.75,433,446.75,436.1,435.7
ICRA,16.1,15.95,16.3,16.15,16.2
IDBI,1021.5,990,1021.5,996.15,997
IDEA,1268,1224,1268,1230.95,1231.95
IDFC,2.2,2.2,2.35,2.25,2.25
IDFCFIRSTB,113.5,113.3,121.2,118,117.45
IEX,53,51.05,53.6,51.7,51.15
IFBAGRO,14.5,14.1,14.6,14.25,14.35
IFBIND,294,290.35,298.85,295.9,297
IFGLEXPOR,1924.85,1906.25,1934,1920.2,1920
IGARASHI,1402.05,1384,1406.25,1393.6,1396
IGL,525,518,526,520.65,521
IGPL,5.85,5.65,5.9,5.75,5.75
IIFLSEC,2553,2532,2574.3,2546.45,2546
IIFLWAM,1966.1,1938.95,1997.9,1962.75,1975
IITL,166.15,164.5,167.05,164.75,164.75
IL&FSENGG,77.5,75.35,78.05,76.5,76.45
IL&FSTRANS,570,556.05,573.15,559.55,559.75
IMAGICAA,1272.5,1272.5,1304.6,1293.7,1294
IMFA,328,320.65,333.55,329.1,328
IMPAL,2668.8,2660,2841.6,2759.5,2765
IMPEXFERRO,79.75,77.8,80,78.5,78.85
INCREDIBLE,100.4,99.35,104.2,100,100.1
INDBANK,411,400,416.5,401.55,401
INDHOTEL,336,327,339.8,330.35,329.95
INDIACEM,109.05,109.05,127.9,125.65,127.8
INDIAGLYCO,109,107.3,110.6,109.1,108.95
INDIAMART,16,15.9,16.35,16.05,16.1
INDIANB,9.3,9.3,9.35,9.35,9.35
INDIANCARD,137.3,133.6,137.5,134.4,134.6
INDIANHUME,212.05,205.6,212.65,207.35,207.9
INDIGO,2583,2562.9,2607.15,2566.4,2567
INDIGOPNTS,357.95,345.05,357.95,346.75,346.8
INDLMETER,289.3,284.25,289.75,289.15,289.5
INDNIPPON,225,225,240,237.8,235.5
INDOAMIN,129.3,127,129.3,127.2,127
INDOBORAX,598.55,590.85,614,608.3,608
INDOCO,239.5,236.8,244.4,237.65,241
INDORAMA,200.9,195,201.9,195.7,195
INDOSTAR,3578,3481.8,3598,3558.7,3578
INDOTECH,10.1,9.55,10.1,9.65,9.65
INDOTHAI,29.2,28.55,30,29.6,29.6
INDOWIND,56.1,55.25,56.3,55.7,55.55
INDRAMEDCO,471,466.3,474.45,468.65,471.8
INDSWFTLAB,842.1,820,842.1,821.75,823
INDSWFTLTD,38839,38251,38839,38343.4,38300
INDTERRAIN,1577.75,1563.35,1597,1576.1,1568.85
INDUSINDBK,4.65,4.65,5,5,5
INDUSTOWER,55,54.05,56.5,54.5,54.3
INEOSSTYRO,401,393.05,403.6,395.1,398
INFIBEAM,72.05,71,72.75,72.35,72.4
INFOBEAN,100.65,99.25,101.5,100.55,100.9
INFOMEDIA,21.95,21.3,22.05,21.45,21.5
INFY,57.5,56,57.85,56,56
INGERRAND,231.2,225.1,232.95,228.65,228.1
INOXLEISUR,77,72.1,77.45,74.45,74.5
INOXWIND,36.8,35.85,37.65,35.85,35.85
INSECTICID,250,237.8,252.2,238.35,240
INSPIRISYS,862.35,850.5,865.45,853.6,854
INTELLECT,1130,1120.75,1142.75,1131.8,1131
INTENTECH,512.2,499.1,512.8,500.85,501
INTLCONV,129.4,127.25,130.5,128.35,129
INVENTURE,4049.85,3991.05,4240,4060.7,4060
IOB,43.95,42.3,44.3,42.65,42.45
IOC,8.65,8.45,8.7,8.6,8.6
IOLCP,76.95,73.8,76.95,74.6,74.4
IONEXCHANG,55.3,53.65,55.4,54.45,54.35
IPCALAB,142.25,139.55,143.05,140.25,140.3
IPL,559.85,551,565.55,553.2,552
IRB,906.1,877.4,923.5,884.75,887
IRCON,249.2,247.25,251.4,249.9,250.25
IRCTC,423.6,402,427.7,412.45,414
IRIS,23.8,23.3,24,23.5,23.8
IRISDOREME,22.7,22.3,23.05,22.75,22.75
ISEC,332,312.7,332.9,317.15,317.2
ISFT,249.5,235.05,250.55,236.15,236
ISGEC,808.35,805.5,824.6,806.95,805.6
ISMTLTD,4450,4338,4559.95,4362.15,4353.9
ITC,194.1,192.25,196.95,196.35,196.7
ITDC,205.75,203,206.95,205.25,203.1
ITDCEM,170.2,166.55,172.35,169.5,169.75
ITI,1747.2,1722.95,1782,1736.15,1734
IVC,1478,1475,1486.4,1484.85,1485.4
IVP,7.6,7,7.6,7.3,7.3
IWEL,444.9,434.25,451.45,437.55,436.8
IZMO,122.1,122.1,144.5,138.6,138.7
J&KBANK,128.4,124,128.4,124.75,125
JAGRAN,340.4,333.15,340.4,337.3,336
JAGSNPHARM,57.55,57.5,58.55,57.9,58.3
JAIBALAJI,169,169,171.8,169.65,169.5
JAICORPLTD,210.65,207.55,215.45,210.15,213.45
JAIPURKURT,154.7,149,155.55,152.15,150.05
JAMNAAUTO,13.1,12.85,13.9,13.2,13.25
JASH,61.95,61.7,62.45,61.8,61.7
JAYAGROGN,54.8,54.5,55.45,55.05,55.1
JAYBARMARU,9.6,9.35,9.6,9.45,9.45
JAYNECOIND,80.2,76.55,81.45,77.15,77.1
JAYSREETEA,1189.05,1167,1196.75,1184.25,1183
JBCHEPHARM,192.6,187.6,192.6,188.5,188.55
JBFIND,858,841.5,867.85,848.8,849.5
JBMA,14.3,14.2,14.55,14.3,14.3
JCHAC,563.1,548,568.6,550.65,554.85
JETAIRWAYS,4.65,4.65,4.65,4.65,4.65
JETFREIGHT,1431,1415,1437.95,1419.9,1422
JHS,2100,2066.1,2145.05,2086.45,2074.1
JINDALPHOT,503,494.7,514.8,500.85,501
JINDALPOLY,156.1,148.1,156.1,150.45,150.45
JINDALSAW,730,729.95,750,738.25,739.8
JINDALSTEL,51.8,48,52.3,51.05,52
JINDRILL,521,516.9,529,524.9,525
JINDWORLD,69.95,69.05,70.9,69.8,69.2
JISLDVREQS,58.3,57.6,58.3,57.7,57.6
JISLJALEQS,2.8,2.7,2.8,2.75,2.75
JITFINFRA,17.2,17.05,17.3,17.15,17.1
JKCEMENT,67.3,66.45,67.75,66.85,66.9
JKIL,365.75,360.05,383.55,362.9,362.7
JKLAKSHMI,1979.95,1965.05,2001.95,1979.95,1971
JKPAPER,888.85,885.1,902.65,888.55,887.5
JKTYRE,294.55,280.7,294.55,284.45,284.6
JMA,213.5,213.5,221.7,217.05,216.5
JMCPROJECT,42.85,42,43.3,42.75,42.5
JMFINANCIL,722,711.6,727.9,724.1,725
JOCIL,76.75,75.05,78.25,76.75,78
JPASSOCIAT,224,224,237.4,233.5,232.1
JPINFRATEC,495,495,509.8,504.05,505
JPOLYINVST,148.15,147.5,151.3,149.1,148.9
JPPOWER,502,497.15,506.95,499.25,502
JSL,52.25,49.8,52.4,50.6,50.35
JSLHISAR,329.95,328,331.3,328.65,328.85
JSWENERGY,342.9,339,345.65,342.6,343
JSWHL,116.5,113.15,117.6,116.5,116.2
JSWISPL,104,103.3,105.75,104.15,103.8
JSWSTEEL,8.65,8.25,8.75,8.3,8.35
JTEKTINDIA,145.95,136.15,145.95,137.6,137.25
JTLINFRA,1037,1023.6,1076.9,1040.8,1028.8
JUBLFOOD,71.35,70.55,72.2,70.9,70.75
JUBLINDS,28.75,27.75,28.75,28.15,28.15
JUBLINGREA,65.65,64.8,66,65.35,65.1
JUBLPHARMA,355.6,340,361.35,343,345.95
JUSTDIAL,40.85,40.15,41.1,40.6,40.3
JWL,195.5,187.35,196.95,194.1,193.9
JYOTHYLAB,68.05,66.05,69.85,67.35,68.7
JYOTISTRUC,110.7,107.9,111,109.35,108.6
KABRAEXTRU,820,804.05,827.45,805.2,805
KAJARIACER,196.25,194.1,198,196.2,198
KAKATCEM,191.8,184.05,191.85,185.35,184.5
KALPATPOWR,25.45,23.6,25.45,24.5,24.5
KALYANIFRG,95.7,92.5,95.7,93,92.6
KALYANKJIL,1969.95,1925.1,1977.9,1933.4,1930
KAMATHOTEL,10.9,9.75,10.95,9.95,10
KAMDHENU,451.3,425.1,453,429.05,428
KANANIIND,1394.65,1362.05,1394.65,1376.15,1379
KANORICHEM,97.5,95,97.8,95.35,96
KANPRPLA,20.5,19.75,20.8,20.1,20.1
KANSAINER,22.9,22.35,22.95,22.7,22.65
KAPSTON,349,338,349,339.7,342
KARMAENG,887.5,871,887.5,872.4,873.75
KARURVYSYA,83.55,82.3,83.75,82.6,82.7
KAUSHALYA,433,428.6,439,434.85,433.5
KAVVERITEL,309.5,300,335,332.1,332.4
KAYA,273.95,267,274,268.55,268.1
KBCGLOBAL,20.45,18.25,20.45,18.85,18.75
KCP,36.1,35.75,36.3,35.85,35.9
KCPSUGIND,122.9,115.5,122.9,118.9,119
KDDL,2500.15,2481,2538.75,2508.25,2505
KEC,274,269.5,274.5,271,270.45
KECL,558.4,540.75,558.4,544.65,547
KEEPLEARN,386.5,385.1,399.95,395.2,396
KEI,173.6,167.4,174.15,168.15,168.5
KELLTONTEC,73.9,72.5,74.95,72.95,73.25
KENNAMET,105.45,103.55,109.9,107.15,107.5
KERNEX,67.7,66.8,68.35,66.95,67
KESORAMIND,188.25,186.55,190.7,187.8,189.1
KEYFINSERV,11.85,11.2,11.85,11.4,11.3
KHADIM,2.2,2.2,2.2,2.2,2.2
KHAICHEM,423.9,402.45,439.95,425.7,434
KHAITANLTD,7.7,7.5,7.95,7.8,7.85
KHANDSE,129,126.05,130.15,129.15,130.1
KICL,246.4,245.6,252.5,250.45,251
KILITCH,326.8,318,328.05,320.2,320
KIMS,4138.55,3968.3,4149.85,4018.15,4053
KINGFA,28.15,27.6,28.25,27.95,27.8
KIOCL,652.5,641.7,656,648.35,649
KIRIINDUS,101.45,100.35,103.05,102.2,102.2
KIRLFER,281.8,273.9,296.05,292.7,292.8
KIRLOSBROS,604.1,601,610.4,604.6,603.5
KIRLOSENG,483,468,483,476.45,476
KIRLOSIND,551,531.25,555.25,535.05,534.7
KITEX,331.15,326.15,331.25,327.55,329.9
KKCL,561.3,553.95,569.35,560.65,558.85
KMSUGAR,73.9,71.4,73.95,72.2,72
KNRCON,204.6,198.2,207.05,199.15,198.9
KOHINOOR,15.45,15.05,15.65,15.35,15.35
KOKUYOCMLN,364.9,352.35,366,358.4,358
KOLTEPATIL,1092,1087.95,1108,1099.45,1099
KOPRAN,220.85,212.8,222,215.75,215.1
KOTAKBANK,437.1,436,448,441.35,441
KOTARISUG,206.25,200,206.25,200,200
KOTHARIPET,96.8,96.1,103.8,101,100.95
KOTHARIPRO,88.35,88.35,92,89.8,89.5
KOVAI,137.3,130.05,137.3,132.75,132.1
KPIGREEN,8.4,7.9,8.55,8.3,8.5
KPITTECH,142.05,138.9,148.5,145.4,146.2
KPRMILL,113.2,111,114.8,112.5,111.1
KRBL,474.35,470.7,477,474.1,474.7
KREBSBIO,136.85,136.6,139.95,138.15,138.45
KRIDHANINF,27.8,26.1,27.8,26.45,27.3
KRISHANA,82.65,82.35,84,82.8,82.8
KRITI,4.9,4.65,4.9,4.8,4.85
KRITIKA,10.95,10.15,11.1,11,11.1
KRITINUT,369.35,360.35,372.95,361.75,360.35
KRSNAA,2.3,2.2,2.3,2.25,2.3
KSB,120,116.05,120,118.05,118.8
KSCL,23.75,22.85,23.85,23.05,23.05
KSHITIJPOL,1098,1065,1129,1076.7,1072
KSL,419,417.55,428,419.2,418.2
KSOLVES,44.75,42.15,45.3,43.05,42.15
KTKBANK,4.8,4.8,5.3,5.3,5.3
KUANTUM,1432.15,1422.25,1481.95,1453.1,1450
L&TFH,64.05,63.1,64.55,63.4,63.15
LAGNAM,2650,2615.05,2670.05,2635.05,2615.05
LAKPRE,353,326,354.7,331.15,330
LALPATHLAB,57.5,56.3,58.55,57.1,57.3
LAMBODHARA,104.8,101.6,106.75,103.2,102.5
LANCER,318.85,310.6,324.8,315.15,314.95
LAOPALA,73.4,71.7,79.3,77.75,78.4
LASA,48.4,45.65,48.4,47.35,47.6
LATENTVIEW,21.7,21.2,22.4,22.25,22
LAURUSLABS,1754.15,1722,1754.35,1722.75,1722
LAXMICOT,171,168.2,173.5,169.9,170.6
LAXMIMACH,1451.25,1451.25,1480,1462.85,1459
LCCINFOTEC,1078.95,1075.6,1119,1090.15,1100
LEMONTREE,186.65,184.85,189,185.2,185.5
LFIC,499,494,513.95,506.9,506
LGBBROSLTD,282.2,280.5,289,286,288
LGBFORGE,360,355,362.15,356.45,355
LIBAS,285.7,277.15,291.3,284,282.65
LIBERTSHOE,1807.2,1767,1848,1779.1,1767
LICHSGFIN,206.2,203,207.05,203.45,204.9
LICI,472,468,486.3,481.25,485
LIKHITHA,26.95,26.1,27.15,26.5,26.65
LINC,222,220.25,224,221.9,222
LINCOLN,59.5,54.35,59.95,55.1,56.15
LINDEINDIA,68.5,67.65,68.85,68.2,68.05
LODHA,341.7,336.1,347,339.8,339.05
LOKESHMACH,157,153,158.45,155.7,156.4
LOTUSEYE,1805,1793,1815.9,1801.5,1799.85
LOVABLE,47.7,47.4,49.8,48.15,48.2
LOYALTEX,73.7,68.8,73.7,70.55,70.55
LPDC,114.55,113.55,117,116.25,114.25
LSIL,1477.7,1450.1,1486.1,1467.3,1479
LT,859.45,842,868,850.75,853
